technical_name,business_name,status,products,rb_datasets,api_feeds,definition
on_order_cost_amt,Store On Order Cost Amount YoY Difference,APPROVED,13:Report Builder,custom_datasets;store_sales_&amp,,The cost amount of units on a purchase order allocated specifically to the store. This amount is shown in dollars.Year over year difference for Store on order cost amount = LY\_ON\_ORDER\_COST\_AMT - TY\_ON\_ORDER\_COST\_AMT
on_order_cost_amt,Warehouse Packs on Order EOP,APPROVED,13:Report Builder,dc_metrics,,The current number of warehouse packs on order on PO (purchase orders) destined to this DC.Note: This metric is the 'End of Period' value for the selected time period: For Example: ‘Friday’ for WMT weeks.
on_order_qty,Store On Order Quantity,APPROVED,13:Report Builder,custom_datasets;store_sales_&amp,store_item_measures_(inventory),"The number of units on a purchase order allocated specifically to the store.Note: This metric is AVG(), and not SUM(), for selected time period if pulled at Walmart weekly level."
on_order_qty,Store On Order Quantity EOP,APPROVED,13:Report Builder,store_sales_&amp,,The number of units on a purchase order allocated specifically to the store.Note: This metric is the 'End of Period' value for the selected time period: For Example: ‘Friday’ for WMT weeks.
on_order_rtl_amt,On Order Retail Amount YoY Change%,APPROVED,13:Report Builder,store_sales_&amp,,The retail value of units on a purchase order allocated specifically to the store.Year over year change percentage for Store On Order Retail Amount = (ly\_on\_order\_rtl\_amt - ty\_on\_order\_rtl\_amt) / ly\_on\_order\_rtl\_amt
on_order_rtl_amt,On Order Retail Amount YoY Difference,APPROVED,13:Report Builder,custom_datasets;store_sales_&amp,,The retail value of units on a purchase order allocated specifically to the store.Year over year difference for Store On Order Retail Amount = ly\_on\_order\_rtl\_amt - ty\_on\_order\_rtl\_amt
on_order_rtl_amt,Store On Order Retail Amount,APPROVED,13:Report Builder,custom_datasets;store_sales_&amp,store_item_measures_(inventory),"The retail value of units on a purchase order allocated specifically to the store.Note: This metric is AVG(), and not SUM(), for selected time period if pulled at Walmart weekly level."
on_order_rtl_amt,Store On Order Retail Amount EOP,APPROVED,13:Report Builder,store_sales_&amp,,The retail value of units on a purchase order allocated specifically to the store.Note: This metric is the 'End of Period' value for the selected time period: For Example: ‘Friday’ for WMT weeks.
on_order_rtl_amt,Store On Order Retail Amount YoY Change%,APPROVED,13:Report Builder,custom_datasets,,The retail value of units on a purchase order allocated specifically to the store.Year over year change percentage for Store On Order Retail Amount = (ly\_on\_order\_rtl\_amt - ty\_on\_order\_rtl\_amt) / ly\_on\_order\_rtl\_amt
on_time_pct,On Time %,APPROVED,13:Report Builder,vendor_scorecard,,On time measures the percentage of cases that arrived within the expected delivery window.Sum (On Time Qty) / Sum (Received qty) \* 100
on_time_pct,On Time Percent,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif;otif_(decommissioned),On time measures the percentage of cases that arrived within the expected delivery window.Calculation: (ontime\_vnpk\_qty) /(rcv\_vnpk\_qty\_TO\_USE) \* 100
ontime_charges,On time Charges,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif,Amount of on time charges from the Supplier/PO level for admin/business reason.
ontime_non_compliant_qty,On Time Non compliant Quantity,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif,This is the number of non-compliant on time vendor packs received (excludes any non-compliant Walmart accountable vendor pack quantities).
ontime_rcv_vnpk_qty,Cases On Time,APPROVED,9:API Glossary,,otif_(decommissioned),The number of vendor packs that arrived on time based on the delivery window expectation. This is used to measure on-time calculations.
ontime_rcv_vnpk_qty,On time Receive Vendor Pack Quantity,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif,Number of total vendor pack quantity received for on-time calculation.
ontime_supplier_owned_cogs,Ontime Supplier Owned COGS,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif,Cost of goods for prepaid vendor pack quantities not received on time (excludes any non-compliant Walmart accountable vendor pack quantities).
ontime_vnpk_qty,On Time Quantity,APPROVED,9:API Glossary,,otif_(decommissioned),The number of vendor packs ordered from the vendor. This value is set only in one row per PO Line.
ontime_vnpk_qty,On Time Vendor Pack Quantity,APPROVED,5:BI Link;9:API Glossary;13:Report Builder,omni_otif,omni_otif,The number of vendor packs that arrived on time based on the delivery window expectation. This is used to measure on-time calculations.
op_close_dt,Operation Close Date,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,store_dimensions,The Date the store closed for business.
op_cmpny_cd,Op Company Code,APPROVED,6:Digital Landscapes,,,"Operational Company Code (OP_CMPNY_CD)0: WMT-US (The operational company Walmart in the US geo-region)1: SAMS-US(The operational company SAMSClub in the US geo-region)2: WMT(The operational company Walmart in the WorldWide region)3: SAMS-MX(The operational company SAMSClub in the MX geo-region)4: WMT-K1(The operational company Walmart in the K1 (Central America) geo-region)Note: Although operational company is an atomic column, based on known use cases and for user convenience we chose to populate it as - Operational Company Code(HYPHEN), Geo Region."
op_cmpny_cd,Operational Company Code,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;dc_metrics;ecomm_inventory;modular_plan_metrics;omni_sales;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,all_traits;coops;dc_alignment;dc_dimensions;dc_item_measures;digital_transactability;ecomm_instock_percentage;ecomm_inventory;ecomm_product_content_score;ecomm_returns;ecomm_subscriptions;fc_ecomm_instock_percentage;future_valid_item;inventory_adjustments;item_affinity;item_attributes;item_dimensions;long_range_store_demand_forecast;modular_plan;modular_plan_upc;modular_traits;modular_upc_location;mtr;mumd;omni_sales;omni_sales_new;oms_po_details;order_demand_forecast;out_of_stock_root_cause;product_dimensions;purchase_order;purchase_order_dc_receiver;purchase_order_dc_receiver_line;purchase_order_line;purchase_order_line_destination;purchase_order_stock_transfer;rfid_on_hand_adjustments;rfid_sku;sales_tender;stock_transfer_purchase_order_cross_reference;store_customer_returns;store_demand_forecast;store_dimensions;store_inventory;store_item_measures;store_item_measures_(inventory);store_modular;store_returns;store_sales;store_sales_new;store_trait;traits;upc_attribution;upc_sales,"Used to differentiate WMT\_US, Sam's, or WMT.com based on international or US.Examples:0 WMT-US The operational company Walmart in the US geo-region.1 SAMS-US The operational company Sam’s Club in the US geo-region.2 WMT The operational company Walmart in the worldwide region.3 SAMS-MX The operational company Sam’s Club in the Mexico geo-region.4 WMT-K1 The operational company Walmart in the Central America geo-region.Note: Although operational company is an atomic column, based on known use cases and for user convenience we chose to populate it as “Operational Company Code” (HYPHEN) “Geo Region”."
open_24_hr_ind,Open 24 HR Indicator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,store_dimensions,Indicates if the store is open 24 hours. The values should be 1 or 0.'Y' - Open 24 = 1'N' - Not Open 24 = 0
open_status_cd,Open Status Code,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,dc_dimensions;store_dimensions,"It gives information for opening stores.Values:0 - scheduled to open1 - new, open less than 13 months2 - new, open 13 months or more3 - scheduled to re-grand open4 - old, less than 13 months since re-grand5 - old, more than 13 months since re-grand6 - scheduled to close7 - closed"
open_status_desc,Open Status Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary,,dc_dimensions;store_dimensions,"This is the description of the Open Status Code.Values:0 - scheduled to open1 - new, open less than 13 months2 - new, open 13 months or more3 - scheduled to re-grand open4 - old, less than 13 months since re-grand5 - old, more than 13 months since re-grand6 - scheduled to close7 - closed"
open_sun_ind,Open Sunday Indicator,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,custom_datasets;modular_plan_metrics;order_forecast;purchase_order;store_demand_forecast;store_markup_and_markdowns;store_sales_&amp,store_dimensions,Identifies a Walmart store as being open for business on Sunday.
orc_auth_dt,Office Of Regulatory Compliance Authorize Date,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order,This is the date on which the Office of Regulatory Compliance (ORC) has approved the quote ship schedule data. (Used for Mexico Imports Only)
orc_rcv_dt,Office Of Regulatory Compliance Receive Date,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order,This is the date on which the Office of Regulatory Compliance (ORC) has received the quote ship schedule data. (Used for Mexico Imports Only)
order_bus_fmt_cd,Ordering Business Format Code,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order,"Identifies the store format for the merchandise according to the import system. These codes and descriptions are maintained in the import system of record.Examples:Walmart Supercenter, Walmart.com, Samsclub.com, Bodega, etc.1 - Sams5 - WALMART/SC8 - WALMART.COM10 - SAMS.COM21 - SAMS - CONSOL22 - SAMS.COM - CONSOL"
order_bus_fmt_desc,Ordering Business Format Description,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order,"Identifies the store format for the merchandise according to the import system. These codes and descriptions are maintained in the import system of record.Examples:Walmart Supercenter, Walmart.com, Samsclub.com, Bodega, etc.1 - Sams5 - WALMART/SC8 - WAL-MART.COM10 - SAMS.COM21 - SAMS - CONSOL22 - SAMS.COM - CONSOL"
order_chnl_nm,Order Channel Name,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,omni_sales,omni_sales;omni_sales_new,"The channel through which the order is placed, or sale is initiated. Examples: Store or eComm."
order_dept_nbr,Order Department Number,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order_line,Used to order and replenish items of merchandise. The order department may or may not be the same as the accounting department. Some departments have more than one order department per accounting department.
order_dt,Order Date,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,omni_otif;purchase_order,omni_otif;oms_po_details;otif_(decommissioned);purchase_order;purchase_order_line,Date when the PO was ordered and transmitted to the supplier via the EDI (Electronic Data Interchange) system.
order_each_qty,Order Each Quantity,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,order_forecast;purchase_order,oms_po_details;order_demand_forecast;purchase_order_line,"Units ordered, derived from vendor pack order quantity and vendor pack qty."
order_grp_id,Order Group ID,APPROVED,3:Cloud Feeds;5:BI Link;9:API Glossary;13:Report Builder,purchase_order,oms_po_details;purchase_order_alloc_order;purchase_order_line,It is an Identifier/Nbr which serves two purposes: \- In Order Well this is used for Crossdock DA Channel methods to connect the order well distribution allocation with the PO Line to serve the legacy connection\- In PO this is used to start grouping the Order Requests into PO Lines that can be on the same PO
